id,CODI_BASE,DSL,la,dc,sre,srd,dire,dird,dife,difd,dure,durd
636,1688,1681,0.0493316,0.422714,6357.76,6413.82,4923.73,4831.32,1524.35,1525.81,11.439,11.5327
637,1689,1688,0.536458,3.17661,6475.18,6313.46,5077.3,4959.1,1512.21,1501.12,11.4345,11.421
638,1690,1694,0.107004,2.0055,6721.08,6523.52,4989.4,4706.75,1512.85,1544.65,11.6745,11.6116
639,1691,3008,14.1431,146.66,5836.83,5916.32,4908.03,4530.85,1458.73,1372.18,11.2229,11.6159
640,1692,NULL,0.0337689,NULL,6440.29,NULL,5187.11,NULL,1519.71,NULL,11.9173,NULL
641,1693,NULL,0.0059266,NULL,6260.37,NULL,4997.88,NULL,1492.56,NULL,11.8111,NULL
642,1694,1682,0.646399,16.8153,3644.77,5724.46,4989.38,3935.7,1454.34,1413.19,10.7007,12.2018
643,1695,NULL,0.00980395,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
644,1696,NULL,0.131743,NULL,6098.11,NULL,4978.71,NULL,1457.17,NULL,11.4892,NULL
645,1697,3014,0.0198655,0.243981,NULL,5894.05,NULL,4659.29,NULL,1544.39,NULL,11.2015
646,1698,NULL,0.213744,NULL,6063.14,NULL,5163.92,NULL,1517.19,NULL,9.53989,NULL
647,1699,XX228,0.019185,0.787913,6047.71,5752.97,5059.79,4895.55,1531.34,1518.55,11.7059,10.9207
648,1700,NULL,0.0600668,NULL,6488.95,NULL,5329.77,NULL,1584.76,NULL,11.4813,NULL
649,1701,NULL,0.0147957,NULL,5557.62,NULL,4903.46,NULL,1504.41,NULL,12.5311,NULL
650,1702,1522,0.363094,10.1051,6915.9,6558.36,4926.05,4783.42,1381.15,1374.06,11.7329,11.0124
651,1703,3014,0.245827,2.27615,5887.32,5648.64,5033.2,4687.13,1524.68,1517.11,11.4685,11.0792
652,1705,NULL,0.463366,37.458,6244.32,5789.38,4728.25,4498.23,1387.31,1359.91,10.2139,10.5863
653,1706,1691,0.543691,15.816,6402.51,5878.26,4962.41,4653.35,1485.78,1472.6,12.2938,12.0145
654,1707,NULL,0.0273678,NULL,5682.42,NULL,5135.58,NULL,1510.1,NULL,12.381,NULL
655,1708,NULL,0.0840392,NULL,6387.81,NULL,5244.63,NULL,1529.92,NULL,9.90725,NULL
656,1709,3013,0.108129,5.9419,6429.04,6075.87,5028.49,4686.36,1513.57,1522.4,11.6974,11.7882
657,1710,1716,0.0280004,2.24177,6354.22,6415.02,4975.2,3961.91,1449.15,1413.85,10.0287,10.0607
658,1711,3013,0.598035,2.74007,6147.25,6318.15,5149.35,5032.41,1536.48,1511.91,11.923,11.97
659,1712,1710,0.118845,6.16824,6351.33,6287.57,4675.83,3495.34,1370.06,1391.45,9.32551,10.1505
660,1713,1694,0.0739069,0.562539,5439.77,5406.68,5044.25,4999.2,1504.98,1493.69,12.4194,12.4578
661,1714,1694,0.0407398,1.40258,5845.55,5860.44,4887.98,4458.02,1502.39,1496.2,11.8801,12.3879
662,1715,1714,0.800377,12.7312,5463.57,5983.38,4895.28,4425.32,1472.55,1476.18,13.4287,12.1809
663,1716,1685,0.104177,4.873,3926.04,5209.21,5052.47,4474.59,1394.32,1422.34,8.92733,10.3112
664,1717,1709,0.565301,10.8177,6379.11,6187.86,5056.57,4575.64,1496.53,1502.88,11.9895,12.2028
665,1718,1685,0.0498466,1.41099,6643.25,6143.11,4594.8,3906.89,1427.02,1484.83,13.3088,12.428
666,1719,1706,0.167932,4.27679,4468.47,6054.45,4893.24,4397.71,1453.02,1387.21,11.2369,12.3568
667,1720,NULL,0.0327564,NULL,5548.11,NULL,4911.51,NULL,1495.1,NULL,10.7321,NULL
668,1721,NULL,0.0552361,NULL,7010.57,NULL,5242.78,NULL,1507.57,NULL,14.1092,NULL
669,1722,1727,0.0249815,0.617274,6687.28,6591.31,4825.03,4815.33,1524.95,1558.76,12.3452,12.2193
