id,CODI_BASE,DSL,la,dc,sre,srd,dire,dird,dife,difd,dure,durd
342,1387,NULL,0.142254,NULL,2543.12,NULL,2892.13,NULL,1025.42,NULL,7.3247,NULL
343,1388,NULL,0.0835617,NULL,4354.88,NULL,2972.43,NULL,1059.14,NULL,9.96315,NULL
344,1389,NULL,0.0257421,NULL,3370.39,NULL,2753.37,NULL,1035.53,NULL,9.19623,NULL
345,1390,1371,0.334386,5.2815,2824.26,3547.49,2674.51,2159.36,1000.74,1015.4,8.51518,9.26303
346,1391,NULL,0.00569768,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
347,1392,NULL,0.00171715,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
348,1393,NULL,0.00571559,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
349,1394,NULL,0.0161616,NULL,3854.84,NULL,2911.98,NULL,1017.12,NULL,9.56395,NULL
350,1395,NULL,0.275838,NULL,2242.74,NULL,2784,NULL,949.013,NULL,7.88105,NULL
351,1396,3093,14.7166,61.3881,3802.28,3899.59,2872.42,2887.28,1042.32,1009.17,9.11306,9.04638
352,1397,NULL,0.0803726,NULL,2957.43,NULL,2843.49,NULL,1049.87,NULL,8.73887,NULL
353,1398,NULL,0.004214,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
354,1399,NULL,0.00970622,NULL,3794.76,NULL,3180.32,NULL,1036.94,NULL,8.76004,NULL
355,1400,NULL,0.0406687,NULL,3664.82,NULL,2858.73,NULL,1017.39,NULL,9.57273,NULL
356,1401,1384,0.379025,2.06912,4044.08,4009.29,2857.97,2938.45,1014.98,999.947,9.57011,9.51753
357,1402,NULL,0.823097,11.2773,4163.49,4230.06,2939.02,3161.41,1027.01,1034.77,10.1178,10.0447
358,1403,NULL,0.0132727,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
359,1404,1418,0.0740648,NULL,3857.33,NULL,2996.03,NULL,980.716,NULL,9.55969,NULL
360,1405,NULL,0.00104842,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
361,1406,NULL,0.0297961,NULL,3691.78,NULL,3025.6,NULL,1022.31,NULL,9.3342,NULL
362,1407,NULL,0.0274422,NULL,3802.32,NULL,3094.64,NULL,1031.88,NULL,9.45319,NULL
363,1408,1353,0.711162,12.7049,4053.11,3928.27,2819.9,2781.25,1021.37,987.7,8.48625,8.35959
364,1409,NULL,0.0146539,NULL,4061.93,NULL,2628.52,NULL,1061.2,NULL,10.3901,NULL
365,1410,NULL,0.19835,NULL,3472.71,NULL,2806.6,NULL,1027.88,NULL,9.97772,NULL
366,1411,NULL,0.0204367,NULL,3264.31,NULL,2713.8,NULL,978.776,NULL,9.08119,NULL
367,1412,1390,0.21119,17.6151,2807.4,3461.21,2825.36,1991.62,972.299,975.638,8.77118,8.78718
368,1413,NULL,0.0232187,NULL,3426.28,NULL,2452.5,NULL,1029.72,NULL,10.1444,NULL
369,1414,1471,0.364813,1.75289,3498.02,3592.62,2865.65,2619.36,1050.88,1035.53,6.38923,6.63932
370,1415,3391,0.00927963,0.317934,4236.68,4301.1,3139.64,2897.95,993.004,1020.14,8.82649,9.17789
371,1416,NULL,0.00700785,NULL,4234.57,NULL,2784.37,NULL,1058.03,NULL,10.5876,NULL
372,1417,NULL,0.00222033,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
373,1418,1422,0.420733,61.393,3844.63,3973.99,2772.43,2990.63,1007.63,982.973,9.0866,9.03322
374,1420,NULL,0.0165742,NULL,3464.84,NULL,2995.07,NULL,1036.05,NULL,10.2411,NULL
375,1421,NULL,0.0105195,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
376,1422,1408,11.037,41.7127,3787.75,3728.81,2797.9,2561.52,1006.21,962.365,9.09524,8.91842
