id,CODI_BASE,DSL,la,dc,sre,srd,dire,dird,dife,difd,dure,durd
2478,XX438,2608,0.00370414,0.0933143,5069.84,5155.54,3547.54,3575.32,1299.76,1303.83,11.9454,11.6538
2479,XX439,2622,0.00831054,2.94022,5340.65,4953.26,3700.12,3590.97,1209.01,1201.06,9.49439,10.5458
2480,XX44,1611,0.0067074,1.62506,NULL,5744.43,NULL,4550.93,NULL,1316.72,NULL,11.5939
2481,XX440,XX439,0.00207826,0.114997,NULL,5022.97,NULL,3508.48,NULL,1338.2,NULL,9.89288
2482,XX441,2646,0.00476425,0.169693,NULL,4995.12,NULL,3987.59,NULL,1290.53,NULL,10.2346
2483,XX446,2625,0.0174525,0.396036,4544.96,5116.24,3487.73,2858.68,1262.37,1207.6,11.4211,11.1094
2484,XX447,3220,0.00854269,0.935825,NULL,5020.26,NULL,4098.03,NULL,1259.96,NULL,10.0458
2485,XX449,2618,0.00257908,0.0326476,5136.53,4980.08,3772.74,3726.09,1339.96,1337.08,9.71399,9.86481
2486,XX45,1474,0.0029337,0.136638,NULL,5237.23,NULL,3520.31,NULL,1275.47,NULL,10.263
2487,XX450,2092,0.905286,25.9017,4213.94,4746.24,3815.83,3353.17,1294.74,1270.31,10.5097,10.4372
2488,XX451,2061,0.141475,NULL,5078.11,NULL,3810.81,NULL,1309.26,NULL,10.4261,NULL
2489,XX455,2162,0.0269099,0.517371,5366.82,5338.68,3628.87,3621.86,1321.41,1322.31,11.2925,11.3509
2490,XX456,XX455,0.0165456,1.187,5287.11,5254.02,3701.36,3775.01,1328.41,1333.25,11.421,11.5198
2491,XX457,XX456,0.0424685,0.908798,5313.67,5280.46,3695.2,3780.79,1328.59,1330.22,11.4686,11.4098
2492,XX458,XX457,0.060129,6.60129,5433.94,4994.39,3639.51,3187.89,1330.5,1314.76,11.221,10.229
2493,XX459,XX457,0.0477045,1.82367,5342.85,5154.25,3830.41,3694.63,1333.67,1332.7,11.0678,10.7096
2494,XX460,2162,0.086197,7.18895,5309.5,4645.01,3803.17,3470.79,1335.08,1314.66,11.4875,11.0112
2495,XX461,1620,0.0119922,0.20185,NULL,4464.68,NULL,4428.72,NULL,1266.95,NULL,8.77122
2496,XX467,1633,0.0278624,1.95174,2258.98,4458.52,3560.27,2100.14,1177.78,1132.91,6.6659,10.0046
2497,XX468,1633,0.0149128,0.317539,3788.32,3538.25,2645.47,2812.68,1219.76,1222.51,8.21548,8.31282
2498,XX48,1685,0.00783605,0.8676,NULL,4998.23,NULL,3426.77,NULL,1363.27,NULL,10.255
2499,XX49,XX48,0.0169729,1.46602,NULL,4343.11,NULL,2926.69,NULL,1354.41,NULL,9.20018
2500,XX50,1724,0.0228252,1.56681,4959.99,4419.32,3123.65,2953.32,1294.3,1360.84,8.47096,7.97242
2501,XX51,1685,0.0133766,0.25489,3676.46,3607.77,3287.13,3270.28,1319.52,1340.36,7.94797,8.26657
2502,XX53,1945,0.0535268,6.41711,5840.64,5880.35,4151.5,4248.26,1372.91,1401.47,10.6152,10.9572
2503,XX58,1924,0.0318283,0.894478,3986.04,4042.46,3646.05,3647.15,1222.88,1200.48,8.85013,10.1641
2504,XX59,1883,0.0564944,0.834171,4666,4764.15,3795.75,3534.82,1254.63,1249.83,10.4846,10.387
2505,XX62,1883,0.00933802,0.105974,NULL,4420.87,NULL,3438.2,NULL,1286.71,NULL,8.22034
2506,XX63,XX62,0.00707984,0.161695,NULL,4415.01,NULL,3643.55,NULL,1283.29,NULL,8.24958
2507,XX64,1942,0.00994827,0.0828756,4147.87,4264.3,3704.26,3734.01,1281.99,1279.07,8.32714,8.305
2508,XX65,1931,0.00857211,0.587669,NULL,3302.96,NULL,3557.32,NULL,1246.29,NULL,8.51318
2509,XX67,1931,0.0800778,2.62438,4560.22,4310.9,3427.69,3117.12,1204.43,1146.24,7.00162,8.08455
2510,XX68,1998,0.0111329,6.11146,NULL,4748.86,NULL,2332.63,NULL,1190.87,NULL,9.12233
2511,XX70,3068,0.0102074,4.93165,NULL,5417.17,NULL,2965.45,NULL,1237.32,NULL,9.65549
2512,XX71,2012,0.00760477,1.64299,4780.02,4439.66,3445.6,2952.21,1286.6,1259.91,7.59569,8.38459
2513,XX77,3067,0.0095169,0.414355,NULL,4199.54,NULL,3444.92,NULL,1250.17,NULL,8.10091
2514,XX78,2598,0.00366898,0.0549098,NULL,5071.44,NULL,3899.7,NULL,1346.05,NULL,9.62205
2515,XX79,1522,0.0413565,3.11435,5887.07,5614.43,3907.13,4375.56,1305.65,1316.72,10.4597,10.6093
2516,XX8,1422,0.0367249,0.295622,5151.16,5173.82,3749.55,3703.27,1282.79,1295.06,9.82578,10.0742
2517,XX81,1522,0.0338419,14.0034,3558.06,3691.33,3670.48,2422.8,1233.84,1164.66,8.21046,8.22756
2518,XX82,XX81,0.0234241,0.0917921,4160.28,4030.19,4112.58,3896.36,1248.37,1270.81,9.72485,9.69701
2519,XX85,1522,0.0122971,3.17982,NULL,4919.03,NULL,4172.23,NULL,1157.23,NULL,10.6214
2520,XX86,1883,0.00771422,0.121155,4721.71,4701.99,3962.57,3928.12,1373.65,1379.77,9.04062,9.24651
2521,XX87,1883,0.00482426,0.0802123,NULL,4791.06,NULL,3963.54,NULL,1383.82,NULL,9.65128
2522,XX9,1418,0.0320928,0.342969,NULL,5355.34,NULL,3824.07,NULL,1305.8,NULL,10.1757
2523,XX90,1850,0.0038106,0.354413,3553.47,3504.63,3767.51,3753.02,1221.4,1215.34,10.0483,8.99536
2524,XX91,2641,0.00917397,0.219417,NULL,4279.03,NULL,3232.48,NULL,1249.64,NULL,11.2673
2525,XX92,1865,0.00262596,8.6867,NULL,4929.62,NULL,3293.78,NULL,1223.58,NULL,10.2541
2526,XX93,1865,0.0710697,2.74193,5499.56,5259.9,3782.63,2720.27,1284.33,1264.77,10.3363,10.0261
2527,XX94,1865,0.0156878,0.351278,3674.31,3587.67,3756.51,3606.54,1282.33,1274.96,9.99573,9.64067
2528,XX95,1865,0.0584372,5.93933,3230.18,3998.34,3949.58,2139.24,1238,1219.25,9.61708,9.0974
2529,XX96,1877,0.0506903,1.05148,3363.33,3451.67,3678.41,3122.47,1214.62,1159.87,8.78426,8.37418
2530,XX97,1853,0.00828914,2.0893,NULL,5472.92,NULL,4186.39,NULL,1317.6,NULL,10.8427
2531,XX99,1733,0.00722642,0.416002,4155,3951.87,3078.78,2770.7,1204.26,1184.13,7.95157,7.91299
2532,1001,NULL,0.0122295,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2533,1002,NULL,0.0168052,NULL,3889.06,NULL,3752.43,NULL,1306.86,NULL,11.3517,NULL
2534,1003,NULL,0.0279509,NULL,4658.69,NULL,3827.84,NULL,1285.56,NULL,9.96972,NULL
2535,1004,NULL,0.0334071,NULL,5337.81,NULL,3998.27,NULL,1339.54,NULL,11.1827,NULL
2536,1005,NULL,0.0104451,NULL,4189.19,NULL,4077.14,NULL,1266.06,NULL,10.5375,NULL
2537,1006,NULL,0.204099,NULL,5366.78,NULL,4070.8,NULL,1295.98,NULL,10.5731,NULL
2538,1007,NULL,1.52704,32.9053,5004.48,4405.32,3801.54,2985.69,1202.93,1177.2,8.89595,9.48796
2539,1009,NULL,0.0439255,NULL,3900.05,NULL,3330.97,NULL,1129.03,NULL,8.30681,NULL
2540,1010,NULL,0.00867322,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2541,1011,NULL,0.219569,NULL,5083.3,NULL,3830.44,NULL,1252.86,NULL,11.2245,NULL
2542,1012,NULL,0.126644,NULL,5045.31,NULL,3788.18,NULL,1257.14,NULL,10.9582,NULL
2543,1013,NULL,0.0202232,NULL,5089.93,NULL,3786.81,NULL,1260.81,NULL,9.04895,NULL
2544,1014,NULL,0.00727413,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2545,1015,NULL,0.0729444,NULL,5324.91,NULL,4052.46,NULL,1272.44,NULL,9.84305,NULL
2546,1016,NULL,0.0216057,NULL,5205.52,NULL,3942.73,NULL,1262.8,NULL,10.0369,NULL
2547,1017,NULL,0.00496784,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2548,1018,NULL,0.184655,NULL,5089.97,NULL,3861.96,NULL,1228,NULL,11.0631,NULL
2549,1019,NULL,0.052858,NULL,4592.18,NULL,3207.01,NULL,1122.9,NULL,8.52571,NULL
2550,1020,NULL,0.00463427,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2551,1021,NULL,0.089578,NULL,5338.51,NULL,4013.83,NULL,1324.68,NULL,11.1504,NULL
2552,1022,NULL,0.0151504,NULL,3510.91,NULL,4082.62,NULL,1116.24,NULL,9.93851,NULL
2553,1023,NULL,0.164821,NULL,5430.84,NULL,4111.05,NULL,1319.78,NULL,11.6851,NULL
2554,1024,NULL,0.0950322,NULL,5465.17,NULL,4126.69,NULL,1338.5,NULL,11.4635,NULL
2555,1025,NULL,0.0365304,NULL,4721.7,NULL,3454.14,NULL,1267.55,NULL,9.32478,NULL
2556,1026,NULL,0.025315,NULL,5287.51,NULL,3964.11,NULL,1323.38,NULL,11.1746,NULL
2557,1027,NULL,0.265883,NULL,5206.54,NULL,3943.3,NULL,1263.24,NULL,10.9183,NULL
2558,1028,NULL,4.03611,151.306,4520.64,3537.9,3429.62,2403.72,1091.02,1030.64,7.16532,7.54196
2559,1029,NULL,0.41197,NULL,5073.06,NULL,3906.2,NULL,1166.86,NULL,9.30866,NULL
2560,1030,NULL,0.439774,NULL,4906,NULL,3737.39,NULL,1168.63,NULL,8.57248,NULL
2561,1031,NULL,0.166346,NULL,4896.44,NULL,3688.27,NULL,1208.17,NULL,8.22921,NULL
2562,1032,NULL,0.716261,11.1236,4567.93,4276.13,3439.92,2608.64,1128,1054.1,7.26079,7.90004
2563,1033,1036,2.20266,114.764,5093.43,4673.28,3945.04,3529.7,1148.41,1192.92,9.90178,9.54668
2564,1035,NULL,0.279778,NULL,5264.64,NULL,4069.92,NULL,1194.71,NULL,10.2344,NULL
2565,1036,NULL,0.97029,68.841,5108.76,4439.11,3903.05,3167.3,1205.71,1191.14,10.0118,9.74627
2566,1037,NULL,0.0414622,NULL,2567.37,NULL,3354.58,NULL,1109.58,NULL,7.13887,NULL
2567,1038,NULL,0.124883,NULL,4881.84,NULL,3725.5,NULL,1156.36,NULL,8.15514,NULL
2568,1042,NULL,0.68156,41.9819,4720.85,4394.76,3541.58,2840.79,1179.27,1139.1,8.354,8.74014
2569,1043,NULL,0.0973866,NULL,5307.26,NULL,3908.92,NULL,1398.34,NULL,11.1408,NULL
2570,1044,NULL,1.02315,404.856,5047.12,4327.22,3895.63,3130.5,1151.48,1157.69,9.95276,9.35742
